inquiry_id,report_id,bureau,inquiry_date,creditor_name
70,19,Equifax,2020-01-25,GTE Southwest
71,19,TransUnion,2020-03-01,AT&T
72,19,Experian,2020-01-08,HSBC
73,19,TransUnion,2019-07-05,Rocket Mortgage
74,19,Experian,2020-01-25,Wells Fargo
75,19,Equifax,2020-01-05,Chase
76,19,Experian,2019-06-23,Navient
77,20,TransUnion,2020-05-17,Portfolio Recovery
78,20,Experian,2019-10-03,Marcus by Goldman
79,20,Equifax,2019-09-26,Citi
80,20,TransUnion,2019-09-18,Citi
81,21,TransUnion,2020-02-19,TD Bank
82,21,Experian,2020-09-10,Ally Financial
83,21,TransUnion,2019-11-16,TD Bank
84,21,TransUnion,2020-05-06,American Express
85,21,Experian,2020-05-05,Chase
86,21,Equifax,2020-04-19,LVNV Funding
87,21,Experian,2020-04-20,AT&T
88,21,Equifax,2020-03-27,Pennymac
89,21,TransUnion,2020-07-09,Quicken Loans
90,21,TransUnion,2020-03-23,Barclays
91,21,Experian,2020-09-02,Quicken Loans
92,22,Experian,2020-08-04,Regions Bank
93,22,Equifax,2020-04-12,Truist
94,22,TransUnion,2020-10-12,GEMB/JCP
95,22,Equifax,2020-04-04,KeyBank
96,22,Equifax,2020-09-11,Toyota Motor Credit
97,22,Experian,2020-05-02,HSBC
98,22,TransUnion,2020-09-30,Jefferson Capital
99,22,Experian,2020-02-27,GTE Southwest
100,23,Experian,2021-07-12,Pennymac
101,23,TransUnion,2021-08-08,Quicken Loans
102,23,Experian,2021-03-26,TD Bank
103,23,Equifax,2021-04-20,Truist
104,23,Equifax,2020-12-19,USAA
105,23,Experian,2021-01-01,Toyota Motor Credit
106,24,TransUnion,2021-10-14,Sallie Mae
107,25,TransUnion,2019-12-13,Toyota Motor Credit
108,25,Equifax,2019-07-22,Portfolio Recovery
109,25,Equifax,2019-11-30,Jefferson Capital
110,26,Experian,2020-01-26,GEMB/JCP
111,26,Experian,2020-01-25,Toyota Motor Credit
112,26,Equifax,2019-12-05,Bank of America
113,26,Experian,2020-08-28,Jefferson Capital
114,27,Equifax,2021-11-02,Quicken Loans
115,27,Equifax,2021-10-20,Discover
116,28,Experian,2022-02-07,Rocket Mortgage
117,28,TransUnion,2021-11-16,Chase
118,28,TransUnion,2022-01-24,Navy Federal
119,29,Experian,2021-09-28,Discover
120,29,TransUnion,2021-12-03,Verizon
121,29,TransUnion,2021-06-04,Bank of America
122,29,TransUnion,2022-01-22,Marcus by Goldman
123,29,Equifax,2021-06-20,Santander
124,30,Equifax,2022-09-30,Cavalry Portfolio
125,30,Equifax,2022-09-12,GEMB/JCP
126,30,TransUnion,2022-01-22,KeyBank
127,30,TransUnion,2022-11-20,Bank of America
128,30,Experian,2022-09-21,Sallie Mae
129,31,Equifax,2021-11-19,Discover
130,31,TransUnion,2022-04-02,HSBC
131,31,Equifax,2021-09-06,Marcus by Goldman
132,34,Experian,2022-06-24,Navient
133,35,Experian,2023-02-01,Quicken Loans
134,35,TransUnion,2023-03-02,Ford Motor Credit
135,35,Equifax,2022-12-01,Portfolio Recovery
136,36,Equifax,2020-02-06,Fifth Third
137,36,Equifax,2020-05-16,Wells Fargo
138,36,TransUnion,2020-09-03,Verizon
139,37,Experian,2020-08-30,GTE Southwest
140,37,Experian,2021-02-22,LVNV Funding
141,38,Equifax,2021-11-14,Midland Credit
142,38,TransUnion,2021-08-15,TD Bank
143,38,Equifax,2022-05-20,American Express
144,38,TransUnion,2021-11-16,Portfolio Recovery
145,38,Experian,2021-11-02,Bank of America
146,38,Experian,2022-02-02,Portfolio Recovery
147,38,TransUnion,2022-02-13,Sallie Mae
148,38,TransUnion,2022-05-29,Regions Bank
149,38,TransUnion,2022-03-31,Rocket Mortgage
150,38,TransUnion,2021-12-19,American Express
151,38,TransUnion,2022-05-17,AT&T
152,38,Experian,2022-02-07,Capital One
153,39,Experian,2022-03-04,Verizon
154,39,Equifax,2022-10-28,Portfolio Recovery
155,39,TransUnion,2022-05-06,Barclays
156,39,TransUnion,2022-04-29,Ford Motor Credit
157,39,Experian,2022-03-05,Synchrony
158,39,Equifax,2022-03-09,Ally Financial
159,39,TransUnion,2022-09-30,AT&T
160,39,Equifax,2022-11-26,Wells Fargo
161,40,Experian,2023-01-03,Navy Federal
162,40,Equifax,2023-08-09,Verizon
163,40,Experian,2023-02-20,GTE Southwest
164,40,TransUnion,2023-03-01,Citi
165,41,TransUnion,2023-05-01,Ally Financial
166,41,TransUnion,2023-09-22,GTE Southwest
167,41,TransUnion,2023-03-18,Synchrony
168,41,Experian,2023-03-07,Ally Financial
169,41,TransUnion,2023-03-17,Regions Bank
170,43,Experian,2022-03-08,USAA
171,44,TransUnion,2020-12-04,Citi
172,44,TransUnion,2020-07-07,Jefferson Capital
173,44,Experian,2020-05-21,Wells Fargo
174,44,Equifax,2020-09-16,Citi
175,45,TransUnion,2019-03-23,Pennymac
176,45,Equifax,2019-05-27,Cavalry Portfolio
177,45,Experian,2019-12-03,Capital One
178,45,Experian,2019-09-11,Sallie Mae
179,45,Equifax,2019-07-11,AT&T
180,45,Equifax,2019-07-11,AT&T
181,45,TransUnion,2019-10-19,Wells Fargo
182,45,TransUnion,2019-04-02,Navient
183,45,TransUnion,2020-01-09,Barclays
184,45,TransUnion,2020-02-02,LendingClub
185,46,Equifax,2019-10-25,Santander
186,46,TransUnion,2020-05-12,Discover
187,46,TransUnion,2019-09-17,Pennymac
188,46,Equifax,2020-03-06,Santander
189,46,Experian,2020-03-03,Rocket Mortgage
190,46,Experian,2020-03-17,Midland Credit
191,46,Equifax,2020-01-22,TD Bank
192,46,TransUnion,2020-02-10,Navy Federal
193,46,Experian,2020-02-22,Santander
194,47,Equifax,2022-02-14,USAA
195,47,Equifax,2022-02-24,Sallie Mae
196,47,Experian,2021-11-21,Bank of America
197,48,Experian,2022-02-27,Navy Federal
198,49,Equifax,2022-07-22,Portfolio Recovery
199,49,TransUnion,2022-07-12,Portfolio Recovery
200,49,Equifax,2022-07-22,Portfolio Recovery
201,49,TransUnion,2022-11-23,Chase
202,49,TransUnion,2022-07-12,Navy Federal
203,50,TransUnion,2023-11-18,Santander
204,50,Equifax,2023-08-16,Ford Motor Credit
205,51,TransUnion,2019-11-10,Truist
206,51,Equifax,2020-07-30,Capital One
207,51,Equifax,2020-10-27,LendingClub
208,51,Experian,2020-06-11,Regions Bank
209,51,Equifax,2020-01-26,Jefferson Capital
210,51,TransUnion,2019-12-06,Sallie Mae
211,51,Equifax,2020-07-03,Jefferson Capital
212,51,Experian,2020-08-22,American Express
213,51,Experian,2020-04-05,AT&T
214,51,TransUnion,2020-06-11,Quicken Loans
215,51,Equifax,2020-05-25,GTE Southwest
216,52,Equifax,2021-01-15,Pennymac
217,52,Equifax,2020-12-21,Fifth Third
218,52,Experian,2020-06-14,Barclays
219,52,Experian,2020-10-04,Chase
220,52,TransUnion,2021-02-01,HSBC
221,52,Equifax,2020-04-27,Toyota Motor Credit
222,52,TransUnion,2020-12-18,Truist
223,53,TransUnion,2020-11-05,Jefferson Capital
224,53,Equifax,2021-02-27,GTE Southwest
225,53,Experian,2021-04-28,Chase
226,53,TransUnion,2021-03-27,Midland Credit
227,53,Experian,2020-07-16,Upgrade
228,53,Experian,2020-09-17,Marcus by Goldman
229,53,Experian,2020-10-31,Citi
230,54,Experian,2021-01-06,SoFi
231,54,TransUnion,2020-01-17,GEMB/JCP
232,54,Experian,2021-01-06,SoFi
233,55,TransUnion,2021-07-16,Marcus by Goldman
234,56,Experian,2022-12-05,Jefferson Capital
235,56,Experian,2022-12-04,PNC Bank
236,57,TransUnion,2023-07-30,Regions Bank
237,58,Equifax,2023-04-08,Ally Financial
238,59,TransUnion,2021-02-25,USAA
239,59,Experian,2021-01-18,Wells Fargo
240,59,Experian,2020-12-03,Bank of America
241,59,Experian,2021-01-18,Wells Fargo
242,59,Experian,2021-02-10,Upgrade
243,59,Experian,2020-11-26,LendingClub
244,59,Equifax,2020-07-05,PNC Bank
245,59,TransUnion,2021-03-31,LVNV Funding
246,59,TransUnion,2020-09-02,GTE Southwest
247,60,Equifax,2020-07-31,Truist
248,60,Experian,2021-06-07,Navy Federal
249,60,Equifax,2021-03-04,TD Bank
250,60,Equifax,2020-10-14,Toyota Motor Credit
251,60,Experian,2020-08-05,SoFi
252,60,Equifax,2020-07-29,Verizon
253,60,Experian,2020-08-05,SoFi
254,61,Equifax,2020-04-21,Truist
255,61,TransUnion,2020-01-24,USAA
256,61,Equifax,2019-08-10,GTE Southwest
257,61,TransUnion,2020-02-13,Synchrony
258,62,TransUnion,2020-06-13,Sallie Mae
259,62,Equifax,2020-08-31,Navy Federal
260,63,Experian,2020-11-10,Synchrony
261,64,Equifax,2022-02-28,Sallie Mae
262,64,Experian,2022-03-22,Sallie Mae
263,64,TransUnion,2022-04-22,Barclays
264,64,Equifax,2022-07-02,Pennymac
265,64,TransUnion,2022-10-11,Discover
266,64,Equifax,2022-09-19,Sallie Mae
267,64,TransUnion,2022-02-03,Midland Credit
268,64,Equifax,2022-01-07,Regions Bank
269,65,Experian,2022-05-03,Capital One
270,65,Equifax,2022-07-22,Wells Fargo
271,65,Equifax,2022-10-11,Midland Credit
272,65,TransUnion,2022-11-23,USAA
273,65,Experian,2022-08-29,AT&T
274,65,Experian,2022-05-18,AT&T
275,65,Equifax,2023-03-05,Wells Fargo
276,65,Experian,2022-08-21,Regions Bank
277,65,Experian,2023-04-02,Portfolio Recovery
278,65,TransUnion,2022-06-03,Quicken Loans
279,66,Equifax,2023-08-04,PNC Bank
280,66,Equifax,2023-01-14,Barclays
281,66,Equifax,2023-05-13,Fifth Third
282,66,Experian,2023-04-09,Sallie Mae
283,66,Equifax,2023-08-07,Verizon
284,66,Experian,2023-03-14,Capital One
285,67,TransUnion,2024-02-13,PNC Bank
286,67,Experian,2023-11-19,Wells Fargo
287,67,TransUnion,2023-07-13,Midland Credit
288,67,Equifax,2024-05-14,Verizon
289,67,Equifax,2023-09-05,AT&T
290,67,Equifax,2023-07-14,PNC Bank
291,68,Experian,2024-03-28,SoFi
292,68,Equifax,2024-03-30,Capital One
293,69,Experian,2021-11-26,Barclays
294,69,Equifax,2022-06-04,HSBC
295,70,Equifax,2022-04-30,American Express
296,70,Equifax,2022-03-03,PNC Bank
297,70,Equifax,2022-06-27,PNC Bank
298,71,TransUnion,2023-04-10,Toyota Motor Credit
299,72,Equifax,2022-12-16,Midland Credit
300,73,TransUnion,2020-01-20,Rocket Mortgage
301,74,Equifax,2019-10-10,Portfolio Recovery
302,75,Experian,2021-05-02,Marcus by Goldman
303,75,TransUnion,2021-03-28,Portfolio Recovery
304,75,Experian,2020-10-13,Citi
305,75,Equifax,2020-10-29,AT&T
306,75,TransUnion,2020-07-12,PNC Bank
307,76,TransUnion,2023-10-01,AT&T
308,77,Experian,2023-10-05,Marcus by Goldman
309,77,TransUnion,2023-04-25,Toyota Motor Credit
310,78,Experian,2019-07-17,HSBC
311,79,Experian,2020-07-26,Regions Bank
312,79,Equifax,2020-03-08,Jefferson Capital
313,79,Experian,2020-03-14,SoFi
314,80,TransUnion,2022-12-06,Wells Fargo
315,82,Equifax,2024-01-14,Fifth Third
316,82,TransUnion,2023-04-03,Ally Financial
317,82,TransUnion,2023-12-14,Capital One
318,84,TransUnion,2020-12-05,Navy Federal
319,84,Experian,2020-06-15,American Express
320,84,Experian,2020-07-08,GTE Southwest
321,85,Equifax,2021-01-15,SoFi
322,85,Equifax,2021-07-01,Wells Fargo
323,85,TransUnion,2021-07-16,Cavalry Portfolio
324,85,Experian,2021-08-26,American Express
325,86,Experian,2022-01-03,TD Bank
326,86,TransUnion,2021-07-06,Rocket Mortgage
327,86,Experian,2021-12-26,Rocket Mortgage
328,87,Equifax,2022-01-13,USAA
329,87,Experian,2021-10-13,Regions Bank
330,87,TransUnion,2021-07-29,Citi
331,88,Equifax,2021-07-08,PNC Bank
332,88,TransUnion,2020-11-17,Ford Motor Credit
333,88,Experian,2021-07-11,Marcus by Goldman
334,90,Experian,2022-02-28,LendingClub
335,90,Equifax,2022-03-12,Barclays
336,92,Experian,2022-10-03,HSBC
337,92,TransUnion,2022-09-06,Toyota Motor Credit
338,93,Experian,2022-06-17,Marcus by Goldman
339,93,Experian,2021-10-30,HSBC
340,93,Experian,2021-09-08,GEMB/JCP
341,93,Experian,2021-08-29,Marcus by Goldman
342,94,TransUnion,2023-01-22,Navy Federal
343,94,Experian,2022-01-31,TD Bank
344,94,TransUnion,2022-04-18,TD Bank
345,94,TransUnion,2022-05-09,Navient
346,94,TransUnion,2022-04-22,Ally Financial
347,94,Experian,2022-11-04,Rocket Mortgage
348,94,TransUnion,2022-10-30,Fifth Third
349,94,Equifax,2022-07-31,GEMB/JCP
350,94,Experian,2022-08-30,GEMB/JCP
351,94,Equifax,2022-09-18,Capital One
352,94,Experian,2022-04-21,PNC Bank
353,95,Equifax,2022-05-11,Sallie Mae
354,95,Equifax,2022-02-25,Ford Motor Credit
355,95,TransUnion,2022-03-16,TD Bank
356,95,Experian,2022-06-16,KeyBank
357,95,TransUnion,2022-06-21,Upgrade
358,96,Equifax,2023-07-23,Rocket Mortgage
359,96,Equifax,2023-07-23,Rocket Mortgage
360,96,Experian,2023-08-27,Ford Motor Credit
361,96,Experian,2024-02-11,Truist
362,96,Equifax,2024-03-05,Synchrony
363,96,Equifax,2023-07-11,Ford Motor Credit
364,96,TransUnion,2024-02-29,Pennymac
365,96,Experian,2024-03-09,Navy Federal
366,96,Experian,2023-07-29,GTE Southwest
367,96,TransUnion,2024-03-03,Navient
368,97,TransUnion,2022-02-24,Ally Financial
369,97,Equifax,2022-10-05,Rocket Mortgage
370,97,TransUnion,2022-10-13,Bank of America
371,97,TransUnion,2021-12-09,Pennymac
372,98,Equifax,2022-06-23,Pennymac
373,98,TransUnion,2023-03-11,Ford Motor Credit
374,98,Equifax,2022-06-06,Ally Financial
375,98,Experian,2022-05-11,GEMB/JCP
376,98,TransUnion,2022-05-25,Ford Motor Credit
377,98,Equifax,2022-05-09,Santander
378,98,Equifax,2022-04-19,Cavalry Portfolio
379,98,TransUnion,2023-01-03,Quicken Loans
380,100,TransUnion,2020-09-23,Cavalry Portfolio
381,100,TransUnion,2020-09-03,Quicken Loans
382,100,Equifax,2020-07-29,Chase
383,100,Equifax,2020-05-13,Upgrade
384,101,Equifax,2021-11-24,Discover
385,101,Experian,2022-03-18,Truist
386,102,TransUnion,2022-06-24,Upgrade
387,102,TransUnion,2021-12-17,Pennymac
388,102,Experian,2021-12-05,Verizon
389,102,Equifax,2022-03-22,KeyBank
390,103,Equifax,2023-01-03,KeyBank
391,104,Experian,2023-02-08,TD Bank
392,104,Equifax,2023-08-24,KeyBank
393,104,Experian,2022-11-16,Capital One
394,105,TransUnion,2021-12-28,Sallie Mae
395,105,Experian,2022-07-12,Upgrade
396,105,Equifax,2021-12-30,SoFi
397,105,Experian,2022-05-19,GTE Southwest
398,105,Experian,2022-04-05,Navient
399,105,Experian,2022-04-14,Portfolio Recovery
400,106,Experian,2022-01-19,HSBC
401,106,TransUnion,2022-10-16,Ford Motor Credit
402,106,Equifax,2022-07-28,Santander
403,106,Equifax,2022-05-12,Pennymac
404,106,Experian,2022-03-15,LendingClub
405,106,TransUnion,2022-02-19,GEMB/JCP
406,106,Experian,2022-06-15,TD Bank
407,106,Equifax,2022-05-18,GTE Southwest
408,106,Experian,2022-08-29,Cavalry Portfolio
409,106,TransUnion,2022-10-07,Jefferson Capital
410,106,Equifax,2022-05-23,Pennymac
411,106,Equifax,2022-10-25,Citi
412,107,TransUnion,2022-10-16,Ford Motor Credit
413,107,TransUnion,2022-12-22,Wells Fargo
414,107,TransUnion,2023-01-19,Regions Bank
415,107,TransUnion,2022-09-08,Wells Fargo
416,107,TransUnion,2022-11-09,Ford Motor Credit
417,107,TransUnion,2022-12-11,Verizon
418,107,Equifax,2023-01-03,LVNV Funding
419,107,Equifax,2022-06-18,USAA
420,107,Experian,2023-01-17,USAA
421,107,Experian,2022-06-20,Verizon
422,107,TransUnion,2022-10-07,GEMB/JCP
423,107,TransUnion,2022-12-22,Wells Fargo
424,108,Experian,2023-11-03,GEMB/JCP
425,108,Equifax,2023-10-12,LendingClub
426,108,TransUnion,2023-05-20,PNC Bank
427,108,Equifax,2022-11-24,Cavalry Portfolio
428,108,Experian,2023-10-22,Barclays
429,109,Experian,2021-08-27,Jefferson Capital
430,109,Equifax,2022-03-05,Wells Fargo
431,109,TransUnion,2022-03-05,Toyota Motor Credit
432,109,TransUnion,2022-04-27,KeyBank
433,109,Equifax,2021-08-24,GTE Southwest
434,109,TransUnion,2022-05-09,Ford Motor Credit
435,109,Equifax,2022-03-05,Wells Fargo
436,109,TransUnion,2022-04-28,Capital One
437,109,TransUnion,2022-02-25,Synchrony
438,110,Experian,2022-12-03,Pennymac
439,110,TransUnion,2022-10-10,USAA
440,110,Equifax,2022-11-02,Regions Bank
441,110,Experian,2022-11-13,Citi
442,110,Experian,2022-04-18,GTE Southwest
443,110,TransUnion,2023-01-01,Chase
444,110,TransUnion,2022-05-08,Ford Motor Credit
445,110,TransUnion,2022-04-28,Midland Credit
446,111,Experian,2019-07-16,Bank of America
447,111,Experian,2019-12-29,SoFi
448,111,Equifax,2019-11-09,Navy Federal
449,111,Equifax,2020-06-10,Citi
450,111,Equifax,2019-10-04,PNC Bank
451,111,Experian,2019-08-25,Sallie Mae
452,111,Experian,2019-08-18,Marcus by Goldman
453,112,TransUnion,2020-05-07,Chase
454,112,TransUnion,2020-05-07,Chase
455,112,TransUnion,2020-10-07,Fifth Third
456,112,TransUnion,2020-01-30,Pennymac
457,112,TransUnion,2020-03-06,Synchrony
458,113,TransUnion,2020-05-16,Quicken Loans
459,113,Experian,2020-03-04,Verizon
460,113,TransUnion,2020-06-21,American Express
461,113,Experian,2021-01-06,Discover
462,113,Equifax,2020-03-08,Ford Motor Credit
463,113,Equifax,2020-09-10,Capital One
464,113,TransUnion,2020-05-25,TD Bank
465,113,TransUnion,2020-07-16,Quicken Loans
466,113,TransUnion,2020-09-07,Fifth Third
467,113,Experian,2020-12-19,KeyBank
468,113,Experian,2020-12-03,HSBC
469,113,Experian,2020-02-08,GTE Southwest
470,114,Equifax,2020-10-24,Cavalry Portfolio
471,114,TransUnion,2020-12-22,Truist
472,114,Experian,2021-06-05,Sallie Mae
473,114,Experian,2021-04-27,USAA
474,115,Experian,2021-08-23,Fifth Third
475,115,Equifax,2021-05-10,GTE Southwest
476,115,TransUnion,2021-08-29,Ally Financial
477,115,Equifax,2021-04-18,Truist
478,115,TransUnion,2022-03-12,Navient
479,115,TransUnion,2021-07-10,Truist
480,115,Experian,2021-10-20,Chase
481,115,TransUnion,2021-12-29,Navy Federal
482,115,Equifax,2021-04-06,Midland Credit
483,116,Equifax,2021-08-24,Chase
484,116,Equifax,2022-03-18,Bank of America
485,116,Equifax,2021-10-29,American Express
486,116,Experian,2022-02-03,Ford Motor Credit
487,116,Experian,2021-09-22,Fifth Third
488,116,Experian,2022-07-07,HSBC
489,116,Equifax,2022-03-23,Bank of America
490,117,TransUnion,2019-09-13,Toyota Motor Credit
491,117,Equifax,2019-05-01,TD Bank
492,118,TransUnion,2020-04-05,Navy Federal
493,121,TransUnion,2022-05-27,LVNV Funding
494,121,Experian,2022-03-18,TD Bank
495,121,Experian,2021-08-04,Santander
496,122,Experian,2021-12-30,PNC Bank
497,123,Experian,2023-07-24,PNC Bank
498,123,TransUnion,2023-10-08,Fifth Third
499,123,Experian,2023-03-13,GTE Southwest
500,123,TransUnion,2023-08-20,Synchrony
501,123,TransUnion,2023-04-29,Regions Bank
502,124,TransUnion,2024-02-02,Discover
503,124,Equifax,2024-03-24,Upgrade
504,124,Experian,2024-02-19,Navient
505,124,TransUnion,2024-02-02,Fifth Third
506,124,Equifax,2024-02-07,Fifth Third
507,125,TransUnion,2024-03-28,GTE Southwest
508,125,TransUnion,2024-03-28,GTE Southwest
509,125,Equifax,2024-05-13,AT&T
510,125,TransUnion,2024-09-24,KeyBank
511,125,TransUnion,2024-08-29,Sallie Mae
512,127,Experian,2020-02-12,SoFi
513,128,TransUnion,2023-03-08,Jefferson Capital
514,128,Equifax,2022-11-22,Sallie Mae
515,129,Experian,2023-10-26,Cavalry Portfolio
516,129,Experian,2023-08-22,PNC Bank
517,132,TransUnion,2022-09-10,KeyBank
518,132,Experian,2022-01-08,Navient
519,132,Equifax,2022-02-19,Rocket Mortgage
520,132,Equifax,2022-07-11,Regions Bank
521,133,Experian,2023-01-14,Navient
522,133,TransUnion,2022-11-20,Navient
523,134,TransUnion,2022-11-26,Santander
524,135,Experian,2023-12-20,Regions Bank
525,135,TransUnion,2023-05-30,Citi
526,135,Experian,2023-03-31,USAA
527,136,Equifax,2020-01-25,Synchrony
528,136,TransUnion,2019-10-26,Bank of America
529,137,Equifax,2020-06-06,Verizon
530,137,Experian,2020-04-30,KeyBank
531,137,Experian,2020-05-11,Discover
532,138,Experian,2020-12-14,Capital One
533,138,Equifax,2020-06-01,TD Bank
534,138,TransUnion,2021-03-17,LendingClub
535,139,Equifax,2021-03-26,Verizon
536,139,TransUnion,2021-05-14,Chase
537,139,Equifax,2020-10-07,Upgrade
538,140,TransUnion,2020-11-05,TD Bank
539,140,Experian,2020-07-26,GEMB/JCP
540,140,Equifax,2020-04-07,PNC Bank
541,140,Experian,2020-03-10,American Express
542,140,TransUnion,2020-08-26,LendingClub
543,140,TransUnion,2020-05-27,LVNV Funding
544,140,Equifax,2020-07-27,Bank of America
545,140,Equifax,2020-06-18,Capital One
546,140,TransUnion,2020-04-29,Upgrade
547,140,Experian,2019-12-23,Pennymac
548,140,Experian,2020-09-28,Santander
549,140,Experian,2019-12-29,KeyBank
550,141,Equifax,2021-01-31,Barclays
551,141,Equifax,2021-01-31,Barclays
552,141,Equifax,2020-10-14,SoFi
553,141,Equifax,2021-01-31,Barclays
554,141,TransUnion,2020-09-15,Chase
555,141,Experian,2020-12-11,Citi
556,141,TransUnion,2020-11-30,HSBC
557,141,Equifax,2020-10-07,Synchrony
558,141,TransUnion,2020-06-15,Cavalry Portfolio
559,141,Equifax,2020-10-07,Synchrony
560,141,TransUnion,2021-03-02,Navient
561,141,Experian,2020-05-27,Synchrony
562,142,TransUnion,2023-11-06,Navient
563,142,TransUnion,2023-10-22,LVNV Funding
564,142,Experian,2023-09-22,GTE Southwest
565,143,Equifax,2023-07-11,Portfolio Recovery
566,143,Equifax,2024-04-22,Santander
567,144,Equifax,2021-03-03,Sallie Mae
568,144,TransUnion,2020-11-18,Navy Federal
569,144,TransUnion,2020-11-03,Wells Fargo
570,145,Experian,2021-05-18,Jefferson Capital
571,146,Equifax,2021-12-09,Truist
572,147,Experian,2022-10-17,Midland Credit
573,147,Equifax,2022-09-28,Wells Fargo
574,147,TransUnion,2022-11-28,GEMB/JCP
575,147,Equifax,2023-02-07,TD Bank
576,147,Experian,2023-03-15,Citi
577,147,Experian,2023-01-28,Fifth Third
578,147,Equifax,2022-12-17,PNC Bank
579,147,Equifax,2022-12-19,Midland Credit
580,147,TransUnion,2022-08-23,Regions Bank
581,148,Experian,2023-07-26,LendingClub
582,148,Equifax,2023-09-07,Truist
583,148,Equifax,2023-04-22,Fifth Third
584,148,Equifax,2023-08-25,GTE Southwest
585,148,Experian,2023-07-02,Chase
586,149,Experian,2024-02-21,GTE Southwest
587,149,TransUnion,2023-11-22,Discover
588,149,Equifax,2023-10-18,Sallie Mae
589,149,Equifax,2023-08-29,Pennymac
590,149,TransUnion,2024-01-04,Pennymac
591,149,Equifax,2024-08-06,Wells Fargo
592,149,Equifax,2023-12-24,Navient
593,149,Equifax,2023-12-14,Capital One
594,149,Equifax,2023-12-14,Portfolio Recovery
595,149,Experian,2023-11-11,Discover
596,150,Experian,2020-08-09,GTE Southwest
597,151,TransUnion,2021-01-28,Ally Financial
598,151,Experian,2020-09-30,Portfolio Recovery
599,151,Equifax,2021-07-20,KeyBank
600,151,Equifax,2020-12-05,KeyBank
601,152,TransUnion,2020-01-02,Rocket Mortgage
602,152,Experian,2019-10-23,American Express
603,152,Experian,2019-09-18,AT&T
604,152,TransUnion,2019-03-25,LVNV Funding
605,153,Equifax,2019-07-17,GEMB/JCP
606,153,Experian,2020-01-13,SoFi
607,153,TransUnion,2019-12-15,Cavalry Portfolio
608,153,Experian,2019-11-10,HSBC
609,154,Experian,2020-09-07,Jefferson Capital
610,154,TransUnion,2020-12-19,Discover
611,154,TransUnion,2020-08-06,Chase
612,154,Experian,2020-03-29,Ford Motor Credit
613,154,Experian,2020-02-29,Jefferson Capital
